uid,datetime,latitude,longitude,Date,segment_id
1,2018-01-01 00:25:46,-1.18884981099406,36.931382436751214,2018-01-01 00:25:46,58_1
2,2018-01-01 02:02:39,-0.662938762534417,37.208730003992294,2018-01-01 02:02:39,280_1
3,2018-01-01 02:31:49,-0.662938762534417,37.208730003992294,2018-01-01 02:31:49,280_1
4,2018-01-01 03:04:01,-1.28808711064054,36.826583403307296,2018-01-01 03:04:01,9_2
5,2018-01-01 03:58:49,-1.18884981099406,36.931382436751214,2018-01-01 03:58:49,58_1
6,2018-01-01 04:04:09,-0.662938762534417,37.208730003992294,2018-01-01 04:04:09,280_1
7,2018-01-01 05:31:17,-1.16522821102464,36.960007703423706,2018-01-01 05:31:17,280_1
8,2018-01-01 07:57:56,-1.30130261058807,36.820903303292,2018-01-01 07:57:56,175_3
9,2018-01-01 09:57:27,-1.13463971131295,36.8482196034995,2018-01-01 09:57:27,133_3
10,2018-01-01 10:48:59,-1.11720711118115,37.00827840347071,2018-01-01 10:48:59,280_1
11,2018-01-01 11:23:14,-1.2825470106648,36.82723370331429,2018-01-01 11:23:14,137_2
12,2018-01-01 11:32:24,-1.2722614207103602,36.8281065733273,2018-01-01 11:32:24,115_1
13,2018-01-01 14:34:07,-1.6050616087800402,37.1669184027834,2018-01-01 14:34:07,176_1
14,2018-01-02 05:13:31,-1.3106566576446002,36.8054806097211,2018-01-02 05:13:31,85_3
15,2018-01-02 05:28:15,-1.1888414109544598,36.9313708034022,2018-01-02 05:28:15,58_1
16,2018-01-02 07:23:44,-1.26433113609309,36.7469843524426,2018-01-02 07:23:44,6_1
17,2018-01-02 07:25:06,-1.26426660944345,36.74698523415729,2018-01-02 07:25:06,6_1
18,2018-01-02 07:34:35,-1.32983701041026,36.855809503272,2018-01-02 07:34:35,172_1
19,2018-01-02 07:34:54,-1.26433113609309,36.7469843524426,2018-01-02 07:34:54,6_1
20,2018-01-02 07:37:25,-1.2641316290306,36.7542528847116,2018-01-02 07:37:25,44_1
21,2018-01-02 07:38:40,-1.26433113609309,36.7469843524426,2018-01-02 07:38:40,6_1
22,2018-01-02 07:41:50,-1.2641003775103898,36.75425230336489,2018-01-02 07:41:50,44_1
23,2018-01-02 07:54:53,-1.26433113609309,36.7469843524426,2018-01-02 07:54:53,6_1
24,2018-01-02 08:25:13,-1.26433113609309,36.7469843524426,2018-01-02 08:25:13,6_1
25,2018-01-02 09:36:32,-1.1672840111931202,36.825383003464395,2018-01-02 09:36:32,15_1
26,2018-01-02 10:14:37,-1.48464840935047,37.1370319029494,2018-01-02 10:14:37,176_1
27,2018-01-02 11:40:51,-0.7833300126180859,37.1000000038811,2018-01-02 11:40:51,280_1
28,2018-01-02 11:43:40,-1.11907251168763,36.6184080035925,2018-01-02 11:43:40,98_1
29,2018-01-02 12:53:00,-1.28708381065599,36.81826470331129,2018-01-02 12:53:00,127_4
